INVOICED_AMOUNT,FISCAL_QUARTER,PRODUCT_CATEGORY,SUPPLIER_NAME,IS_PREFERRED_SUPPLIER,CHANNEL,IS_CATALOG
15.4,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Depomed  Inc.,No,Ebuy,yes
277.71,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Dza Brands Llc,Yes,PO,yes
2200.14,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Henry Schein  Inc.,No,Ebuy,yes
606.5,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Henry Schein  Inc.,No,Pcard,yes
99.0,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,King Bio Inc.,No,Ebuy,yes
15.4,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Mary Kay Inc.,No,Ebuy,yes
34.1,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Matrixx Initiatives  Inc.,No,Pcard,no
223.82,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Panrosa Enterprises  Inc.,Yes,Ebuy,yes
34.1,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Safeway,Yes,Pcard,no
171.98,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Sandoz Inc,No,Ebuy,no
61.5,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Sandoz Inc,No,Pcard,no
240.0,Q2 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Tenaris Coiled Tubes Llc,No,Pcard,no
46.62,Q2 FY2014,OUTSOURCED SERVICES,Ab7 Industries,Yes,Pcard,no
48.84,Q2 FY2014,OUTSOURCED SERVICES,Akorn  Inc.,No,PO,no
254.70999999999998,Q2 FY2014,OUTSOURCED SERVICES,Cephalon  Inc.,Yes,PO,no
219.64,Q2 FY2014,OUTSOURCED SERVICES,Cephalon  Inc.,Yes,Pcard,no
223.82,Q2 FY2014,OUTSOURCED SERVICES,Chattem  Inc.,No,Pcard,no
15.4,Q2 FY2014,OUTSOURCED SERVICES,Deb Usa  Inc.,No,Pcard,yes
10.5,Q2 FY2014,OUTSOURCED SERVICES,Depomed  Inc.,No,Ebuy,no
223.82,Q2 FY2014,OUTSOURCED SERVICES,Heel Inc,No,Ebuy,no
15.4,Q2 FY2014,OUTSOURCED SERVICES,Merck Sharp & Dohme Corp.,No,Pcard,yes
23.12,Q2 FY2014,OUTSOURCED SERVICES,Pliva Inc.,No,Pcard,yes
27.32,Q2 FY2014,OUTSOURCED SERVICES,Safeway Inc.,No,Pcard,yes
15.4,Q2 FY2014,OUTSOURCED SERVICES,Shiseido Co.  Ltd.,No,Pcard,yes
4.72,Q2 FY2014,OUTSOURCED SERVICES,Sj Creations  Inc.,Yes,Ebuy,no
53.51,Q2 FY2014,OUTSOURCED SERVICES,Skinfix  Inc.,Yes,Ebuy,yes
45.4,Q2 FY2014,OUTSOURCED SERVICES,Starbucks,Yes,Pcard,yes
667.4,Q2 FY2014,OUTSOURCED SERVICES,Thefaceshop Co.  Ltd,No,Ebuy,no
1040.0,Q2 FY2014,OUTSOURCED SERVICES,Timken Group,No,Pcard,yes
3.14,Q2 FY2014,OUTSOURCED SERVICES,Tonymoly Co.  Ltd.,No,Ebuy,no
45.4,Q2 FY2014,OUTSOURCED SERVICES,Tubos De Acero De Mexico Sa,No,Pcard,yes
48.84,Q2 FY2014,OUTSOURCED SERVICES,Valu Merchandisers Company,Yes,Ebuy,no
27.32,Q2 FY2014,OUTSOURCED SERVICES,Wise Consumer Products,Yes,Ebuy,yes
27.97,Q2 FY2015,Asset,Cephalon  Inc.,Yes,Ebuy,no
105.85,Q2 FY2015,Asset,Cephalon  Inc.,Yes,Ebuy,yes
27.97,Q2 FY2015,Asset,Cephalon  Inc.,Yes,PO,no
223.82,Q2 FY2015,Asset,Cephalon  Inc.,Yes,Pcard,no
8.27,Q2 FY2015,Asset,Jeun Cell Ltd,No,Pcard,yes
1.0,Q2 FY2015,Asset,Johnny Rockets,No,Pcard,yes
99.77,Q2 FY2015,Asset,Matrixx Initiatives  Inc.,No,PO,no
37.4,Q2 FY2015,Asset,Mckesson,Yes,Ebuy,yes
16.55,Q2 FY2015,Asset,Merck Sharp & Dohme Corp.,No,PO,no
17.51,Q2 FY2015,Asset,Rite Aid Corporation,No,Pcard,no
15.4,Q2 FY2015,Asset,Sandoz Inc,No,PO,no
36.83,Q2 FY2015,Asset,Sandoz Inc,No,PO,yes
20.37,Q2 FY2015,Asset,Schoeller Bleckmann Inc,No,PO,no
12.21,Q2 FY2015,Asset,Timken Group,No,PO,no
30.0,Q2 FY2015,Asset,Tubos De Acero De Mexico Sa,No,Pcard,no
214.5,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Ab7 Industries,Yes,PO,yes
65.63,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Avkare  Inc.,No,PO,yes
180.76,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,C.D.M.A.  Inc,No,Pcard,yes
52.64,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Ebuy,no
5.2,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Ebuy,yes
15.4,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,PO,no
604.07,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Pcard,no
317.9,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Pcard,yes
238.84,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Chattem  Inc.,No,PO,no
68.82,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Deb Usa  Inc.,No,Ebuy,no
238.84,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Depomed  Inc.,No,PO,no
33.8,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Dza Brands Llc,Yes,Ebuy,no
6.6,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Elizabeth Arden  Inc,Yes,Ebuy,yes
447.64,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Elizabeth Arden  Inc,Yes,PO,no
214.5,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Fenwal  Inc.,No,Pcard,yes
297.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Godwin-Sbo  Lp,No,Ebuy,yes
5.35,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Godwin-Sbo  Lp,No,Pcard,no
238.84,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Henry Schein  Inc.,No,PO,no
37.4,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Hospira  Inc.,No,Pcard,no
4.35,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Johnny Rockets,No,Pcard,yes
7.7,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,King Bio Inc.,No,PO,yes
5.35,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Knust Sbs,No,PO,no
297.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Knust Sbs,No,PO,yes
263.23,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Kroger Company,No,PO,yes
15.4,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Mary Kay Inc.,No,PO,no
22.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,Ebuy,yes
22.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,PO,yes
16.6,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,Pcard,no
37.4,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,Pcard,yes
369.29,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Mckesson,Yes,Pcard,no
73.5,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Panrosa Enterprises  Inc.,Yes,Ebuy,no
15.4,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Pliva Inc.,No,PO,yes
4.35,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Quiznos,Yes,PO,yes
17.51,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Revamp International Pte. Ltd.,Yes,Pcard,no
39.25,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Rimmel Inc.,No,PO,no
17.51,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Safeway Inc.,No,PO,no
244.53,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,Ebuy,no
936.89,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,PO,no
629.02,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,Pcard,no
7.02,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Sb Darron Pte Ltd,No,Ebuy,no
251.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Sb Darron Pte Ltd,No,Ebuy,yes
258.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Sb Darron Pte Ltd,No,PO,no
258.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Sbot,No,PO,no
30.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Schoeller Bleckmann Inc,No,Ebuy,no
149.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Schoeller Bleckmann Inc,No,Pcard,no
36.8,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Sj Creations  Inc.,Yes,Pcard,no
60.77,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Skinfix  Inc.,Yes,Ebuy,no
16.6,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Skinfix  Inc.,Yes,Ebuy,yes
59.9,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Skinfix  Inc.,Yes,PO,no
198.8,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Skinfix  Inc.,Yes,Pcard,yes
14.56,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Starbucks,Yes,Ebuy,no
9.8,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Tenaris,No,Ebuy,no
179.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Tenaris,No,PO,no
1120.1,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Tenaris  S.A.,Yes,PO,no
245.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Tenaris  S.A.,Yes,Pcard,yes
124.85,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Tenaris Coiled Tubes Llc,No,Ebuy,no
131.32,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Thefaceshop Co.  Ltd,No,Ebuy,no
8.5,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Thefaceshop Co.  Ltd,No,PO,no
8.5,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Thefaceshop Co.  Ltd,No,Pcard,no
245.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Timken Group,No,PO,yes
15.4,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Tonymoly Co.  Ltd.,No,PO,no
245.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Tubos De Acero De Mexico Sa,No,Ebuy,yes
699.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Valu Merchandisers Company,Yes,Ebuy,no
16.07,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Valu Merchandisers Company,Yes,PO,yes
160.0,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Ventura International Ltd,No,PO,yes
67.51,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Walgreen Co.,No,PO,no
73.5,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Walgreen Company,No,PO,no
15.4,Q2 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Wise Consumer Products,Yes,Ebuy,yes
49.99,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Ab7 Industries,Yes,Ebuy,yes
114.19,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Akorn  Inc.,No,Ebuy,no
68.98,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Alk-Abello  Inc.,Yes,PO,no
79.5,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Avkare  Inc.,No,Pcard,no
60.7,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Avpak,No,Ebuy,no
60.9,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Best Buy ,Yes,Ebuy,no
15.4,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,C.D.M.A.  Inc,No,PO,no
284.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,C.D.M.A.  Inc,No,Pcard,no
70.72,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,Ebuy,yes
223.82,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,PO,no
1861.7599999999998,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,PO,yes
14.33,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,Pcard,no
126.25999999999999,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,Pcard,yes
700.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Darron Tool & Eng Sbo,No,Pcard,yes
606.5,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Deb Usa  Inc.,No,Ebuy,no
16.55,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Deb Usa  Inc.,No,Pcard,no
66.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Depomed  Inc.,No,PO,no
8.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Fenwal  Inc.,No,PO,no
20.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Fenwal  Inc.,No,PO,yes
11.97,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Godwin-Sbo  Lp,No,PO,yes
0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,H.J. Harkins Company  Inc.,No,Ebuy,yes
37.4,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,H.J. Harkins Company  Inc.,No,Pcard,yes
63.74,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Hampton Inn & Suites,No,Ebuy,yes
238.84,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Heel Inc,No,Pcard,yes
15.4,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Henry Schein  Inc.,No,Ebuy,no
45.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Hospira  Inc.,No,Ebuy,no
45.84,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Hospira  Inc.,No,PO,yes
52.95,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,King Bio Inc.,No,Ebuy,yes
11.97,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Knust Sbs,No,Ebuy,yes
633.87,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Mary Kay Inc.,No,PO,no
1503.8600000000001,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Matrixx Initiatives  Inc.,No,PO,no
685.7,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Matrixx Initiatives  Inc.,No,Pcard,no
51.5,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Mckesson,Yes,PO,yes
11.3,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Merck Sharp & Dohme Corp.,No,Ebuy,no
87.43,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Merck Sharp & Dohme Corp.,No,Pcard,no
22.64,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Panda Express,Yes,PO,no
117.37,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Panda Express,Yes,Pcard,no
276.61999999999995,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Panrosa Enterprises  Inc.,Yes,Ebuy,no
226.8,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Pliva Inc.,No,PO,no
56.529999999999994,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Prime Packaging  Inc.,No,Pcard,no
1.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Quiznos,Yes,PO,yes
102.2,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Revamp International Pte. Ltd.,Yes,Ebuy,no
21.42,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Revamp International Pte. Ltd.,Yes,PO,no
3.73,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Rimmel Inc.,No,Ebuy,no
52.8,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Rimmel Inc.,No,Pcard,no
16.76,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Rite Aid Corporation,No,Ebuy,no
191.9,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Rite Aid Corporation,No,PO,yes
102.9,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Rite Aid Corporation,No,Pcard,no
457.9,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Safeway,Yes,Pcard,no
15.4,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Safeway Inc.,No,Pcard,no
439.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,Ebuy,no
220.22,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,Ebuy,yes
190.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,PO,yes
629.02,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,Pcard,no
305.88,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,Pcard,yes
61.5,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Sbot,No,Ebuy,no
72.99,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Shiseido Co.  Ltd.,No,PO,no
45.84,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Shiseido Co.  Ltd.,No,PO,yes
399.39000000000004,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Ebuy,no
11.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Ebuy,yes
28.09,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,PO,no
11.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,PO,yes
30.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Pcard,no
49.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Pcard,yes
30.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Starbucks,Yes,Ebuy,no
23.82,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Starbucks,Yes,Pcard,no
125.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Tenaris  S.A.,Yes,PO,yes
49.33,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Tenaris Coiled Tubes Llc,No,Ebuy,yes
12.8,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Thefaceshop Co.  Ltd,No,Pcard,no
145.0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Timken Group,No,Pcard,yes
21.65,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Tubos De Acero De Mexico Sa,No,PO,no
0,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Walgreen Co.,No,PO,no
15.4,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Walgreen Company,No,PO,no
36.43,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Wise Consumer Products,Yes,Ebuy,no
87.43,Q2 FY2015,IT/IS AND TELECOMMUNICATIONS,Wockhardt Limited,Yes,Pcard,no
699.0,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Akorn  Inc.,No,PO,no
43.85,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Avpak,No,Pcard,yes
105.85,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Cephalon  Inc.,Yes,Ebuy,yes
63.959999999999994,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Cephalon  Inc.,Yes,Pcard,no
50.0,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Darron Tool & Eng Sbo,No,Ebuy,no
152.19,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Dza Brands Llc,Yes,Pcard,yes
4.4,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,H.J. Harkins Company  Inc.,No,Pcard,no
38.0,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Jeun Cell Ltd,No,Pcard,no
570.88,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,King Bio Inc.,No,Ebuy,no
6.1,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Knust Sbs,No,Ebuy,no
46.38,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Matrixx Initiatives  Inc.,No,PO,no
372.7,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Matrixx Initiatives  Inc.,No,Pcard,no
31.52,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Sb Darron Pte Ltd,No,Pcard,no
35.08,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Sbot,No,Pcard,no
68.82,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Shiseido Co.  Ltd.,No,PO,no
328.38,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Skinfix  Inc.,Yes,Ebuy,no
891.51,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Skinfix  Inc.,Yes,PO,no
30.0,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Skinfix  Inc.,Yes,Pcard,no
20.37,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Tenaris,No,Pcard,no
108.8,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Thefaceshop Co.  Ltd,No,Ebuy,yes
230.0,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Thefaceshop Co.  Ltd,No,PO,no
5.0,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Thefaceshop Co.  Ltd,No,Pcard,no
43.85,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Ventura International Ltd,No,Ebuy,yes
11.3,Q2 FY2015,MANUFACTURING COMPONENTS AND SUPPLIERS,Wockhardt Limited,Yes,PO,no
40.0,Q2 FY2015,OUTSOURCED SERVICES,Alk-Abello  Inc.,Yes,PO,no
57.17,Q2 FY2015,OUTSOURCED SERVICES,Avkare  Inc.,No,Ebuy,no
30.0,Q2 FY2015,OUTSOURCED SERVICES,Cephalon  Inc.,Yes,Ebuy,yes
699.0,Q2 FY2015,OUTSOURCED SERVICES,Cephalon  Inc.,Yes,PO,no
1398.0,Q2 FY2015,OUTSOURCED SERVICES,Cephalon  Inc.,Yes,Pcard,no
73.5,Q2 FY2015,OUTSOURCED SERVICES,Cephalon  Inc.,Yes,Pcard,yes
233.0,Q2 FY2015,OUTSOURCED SERVICES,Dza Brands Llc,Yes,Ebuy,no
40.0,Q2 FY2015,OUTSOURCED SERVICES,Elizabeth Arden  Inc,Yes,Ebuy,no
15.4,Q2 FY2015,OUTSOURCED SERVICES,Henry Schein  Inc.,No,PO,no
99.0,Q2 FY2015,OUTSOURCED SERVICES,Hospira  Inc.,No,PO,yes
598.8,Q2 FY2015,OUTSOURCED SERVICES,Johnny Rockets,No,Ebuy,no
41.1,Q2 FY2015,OUTSOURCED SERVICES,Mary Kay Inc.,No,PO,no
848.16,Q2 FY2015,OUTSOURCED SERVICES,Matrixx Initiatives  Inc.,No,Ebuy,no
12.65,Q2 FY2015,OUTSOURCED SERVICES,Matrixx Initiatives  Inc.,No,Ebuy,yes
22.5,Q2 FY2015,OUTSOURCED SERVICES,Matrixx Initiatives  Inc.,No,PO,no
96.25,Q2 FY2015,OUTSOURCED SERVICES,Matrixx Initiatives  Inc.,No,PO,yes
38.63,Q2 FY2015,OUTSOURCED SERVICES,Matrixx Initiatives  Inc.,No,Pcard,yes
28.77,Q2 FY2015,OUTSOURCED SERVICES,Pliva Inc.,No,Pcard,yes
35.17,Q2 FY2015,OUTSOURCED SERVICES,Safeway Inc.,No,Ebuy,yes
99.0,Q2 FY2015,OUTSOURCED SERVICES,Sandoz Inc,No,Ebuy,yes
123.0,Q2 FY2015,OUTSOURCED SERVICES,Sandoz Inc,No,Pcard,yes
26.2,Q2 FY2015,OUTSOURCED SERVICES,Sj Creations  Inc.,Yes,Pcard,no
112.7,Q2 FY2015,OUTSOURCED SERVICES,Skinfix  Inc.,Yes,Ebuy,no
233.0,Q2 FY2015,OUTSOURCED SERVICES,Skinfix  Inc.,Yes,Pcard,no
33.3,Q2 FY2015,OUTSOURCED SERVICES,Thefaceshop Co.  Ltd,No,Ebuy,no
26.2,Q2 FY2015,OUTSOURCED SERVICES,Tonymoly Co.  Ltd.,No,PO,no
39.0,Q2 FY2015,OUTSOURCED SERVICES,Walgreen Company,No,PO,no
31.85,Q2 FY2015,OUTSOURCED SERVICES,Wise Consumer Products,Yes,PO,yes
6.0,Q3 FY2013,Asset,C.D.M.A.  Inc,No,Pcard,no
13.21,Q3 FY2013,Asset,Cephalon  Inc.,Yes,Ebuy,yes
15.9,Q3 FY2013,Asset,Cephalon  Inc.,Yes,PO,no
6000.0,Q3 FY2013,Asset,Heel Inc,No,Pcard,yes
15.4,Q3 FY2013,Asset,Matrixx Initiatives  Inc.,No,Pcard,no
60.08,Q3 FY2013,Asset,Panrosa Enterprises  Inc.,Yes,Ebuy,no
11.13,Q3 FY2013,Asset,Sbot,No,Ebuy,no
49.44,Q3 FY2013,Asset,Shiseido Co.  Ltd.,No,Pcard,no
20.47,Q3 FY2013,Asset,Skinfix  Inc.,Yes,Ebuy,yes
20.47,Q3 FY2013,Asset,Skinfix  Inc.,Yes,PO,yes
70.72,Q3 FY2013,Asset,Skinfix  Inc.,Yes,Pcard,yes
263.23,Q3 FY2013,Asset,Tubos De Acero De Mexico Sa,No,PO,no
60.08,Q3 FY2013,Asset,Walgreen Company,No,Pcard,no
83.5,Q3 FY2013,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Ebuy,yes
59.11,Q3 FY2013,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,PO,yes
